# ── Due Out (145 reviewed) ──
lab_id,sample_id,tab,outcome,reason,date
032726-31890,35575,Due Out,Bad,add DNRs to toehr tests,2026-04-01
032726-31996,35574,Due Out,Good,,2026-04-01
032726-31953,35573,Due Out,Good,,2026-04-01
032726-31952,35572,Due Out,Good,,2026-04-01
032726-31951,35571,Due Out,Good,,2026-04-01
032726-31950,35570,Due Out,Good,,2026-04-01
032726-31949,35569,Due Out,Good,,2026-04-01
032726-31948,35568,Due Out,Good,,2026-04-01
032726-31947,35567,Due Out,Good,,2026-04-01
032726-31946,35566,Due Out,Good,,2026-04-01
032726-31945,35565,Due Out,Good,,2026-04-01
032726-31944,35564,Due Out,Good,,2026-04-01
032726-31943,35563,Due Out,Good,,2026-04-01
032726-31942,35562,Due Out,Good,,2026-04-01
032726-31941,35561,Due Out,Good,,2026-04-01
032726-31940,35560,Due Out,Good,,2026-04-01
032726-31939,35559,Due Out,Good,,2026-04-01
032726-31938,35558,Due Out,Good,,2026-04-01
032726-31937,35557,Due Out,Good,,2026-04-01
032726-31936,35556,Due Out,Good,,2026-04-01
032726-31935,35555,Due Out,Good,,2026-04-01
032726-31934,35554,Due Out,Good,,2026-04-01
032726-31932,35552,Due Out,Good,,2026-04-01
032726-31933,35553,Due Out,Good,,2026-04-01
032726-31931,35551,Due Out,Good,,2026-04-01
032726-31930,35550,Due Out,Bad,missing flash,2026-04-01
032726-31929,35549,Due Out,Good,,2026-04-01
032726-31928,35548,Due Out,Bad,negative sufur,2026-04-01
032726-31901,35547,Due Out,Good,,2026-04-01
032726-31900,35546,Due Out,Good,,2026-04-01
032726-31899,35545,Due Out,Good,,2026-04-01
032726-31898,35544,Due Out,Good,,2026-04-01
032726-31897,35543,Due Out,Good,,2026-04-01
032726-31896,35542,Due Out,Good,,2026-04-01
032726-31895,35541,Due Out,Good,,2026-04-01
032726-31894,35540,Due Out,Good,,2026-04-01
032726-31893,35539,Due Out,Good,,2026-04-01
032726-31892,35538,Due Out,Good,,2026-04-01
032726-31891,35537,Due Out,Good,,2026-04-01
032726-32008,35385,Due Out,Good,,2026-04-01
032726-32007,35384,Due Out,Good,,2026-04-01
032726-32006,35383,Due Out,Good,,2026-04-01
032726-32005,35382,Due Out,Good,,2026-04-01
032726-32004,35381,Due Out,Good,,2026-04-01
032726-31911,35378,Due Out,Good,,2026-04-01
032726-31911,35378,Due Out,Good,,2026-04-01
032726-31910,35377,Due Out,Good,,2026-04-01
032726-32032,35261,Due Out,Good,,2026-04-01
032726-32031,35260,Due Out,Good,,2026-04-01
032726-32003,35259,Due Out,Good,,2026-04-01
032726-31909,35258,Due Out,Bad,excess tests,2026-04-01
032726-31908,35255,Due Out,Bad,excess tests,2026-04-01
032726-32030,35254,Due Out,Good,,2026-04-01
032726-32002,35253,Due Out,Good,,2026-04-01
032726-31907,35252,Due Out,Bad,excess tests,2026-04-01
032726-32001,35251,Due Out,Good,,2026-04-01
032726-32029,35250,Due Out,Good,,2026-04-01
032726-31906,35249,Due Out,Bad,excess tests,2026-04-01
032726-31994,35248,Due Out,Bad,distillations missing,2026-04-01
032726-31990,35246,Due Out,Good,,2026-04-01
032726-31984,35243,Due Out,Good,,2026-04-01
032726-31987,35240,Due Out,Good,,2026-04-01
032726-31993,35238,Due Out,Bad,distillations missing,2026-04-01
032726-31992,35237,Due Out,Bad,distillations missing,2026-04-01
032726-31991,35236,Due Out,Bad,distillations missing,2026-04-01
032726-31989,35235,Due Out,Good,,2026-04-01
032726-31986,35234,Due Out,Good,,2026-04-01
032726-31988,35233,Due Out,Good,,2026-04-01
032726-31995,35231,Due Out,Bad,distillations missing,2026-04-01
032726-31985,35230,Due Out,Good,,2026-04-01
032726-32028,35093,Due Out,Good,,2026-04-01
032726-32000,35092,Due Out,Good,,2026-04-01
032726-31905,35091,Due Out,Bad,excess tests,2026-04-01
032726-31999,35090,Due Out,Good,,2026-04-01
032726-32027,35089,Due Out,Good,,2026-04-01
032726-31904,35088,Due Out,Bad,excess tests,2026-04-01
032726-31998,35087,Due Out,Good,,2026-04-01
032726-32026,35086,Due Out,Good,,2026-04-01
032726-31903,35085,Due Out,Bad,excess tests,2026-04-01
032726-31997,35084,Due Out,Good,,2026-04-01
032726-32025,35083,Due Out,Good,,2026-04-01
032726-31902,35082,Due Out,Bad,excess tests,2026-04-01
032726-32024,35074,Due Out,Good,,2026-04-01
032726-32023,35073,Due Out,Good,,2026-04-01
032726-31927,35072,Due Out,Good,,2026-04-01
